Sl. No.,State/UT,Beneficiaries under PM Kisan Samman Nidhi Yojana (PM-KISAN)
1,Andaman and Nicobar Islands,12043
2,Andhra Pradesh,4146792
3,Arunachal Pradesh,62677
4,Assam,1448043
5,Bihar,7462817
6,Chandigarh,333
7,Chhattisgarh,2273415
8,Delhi,9454
9,Goa,6186
10,Gujarat,4473391
11,Haryana,1472847
12,Himachal Pradesh,750480
13,Jammu and Kashmir,808426
14,Jharkhand,1567806
15,Karnataka,4598444
16,Kerala,2540528
17,Ladakh,16708
18,Lakshadweep,1757
19,Madhya Pradesh,7802023
20,Maharashtra,8760874
21,Manipur,235397
22,Meghalaya,84056
23,Mizoram,77134
24,Nagaland,133084
25,Odisha,2765444
26,Puducherry,8649
27,Punjab,642043
28,Rajasthan,5557942
29,Sikkim,18600
30,Tamil Nadu,2134544
31,Telangana,3002292
32,Dadra and Nagar Haveli and Daman and Diu,11212
33,Tripura,207111
34,Uttar Pradesh,18964158
35,Uttarakhand,720647
36,West Bengal,4235044
Grand Total,Grand Total,87012401
